id,lat,lon,poids_colis,nom_client
0,45.5255473,-73.5906069,0,DEPOT CENTRAL
1,45.5257067,-73.5813689,38,Hôtel de Ville 1
2,45.5211819,-73.5672828,48,Librairie 2
3,45.52519,-73.5856118,29,Mairie 3
4,45.5241011,-73.5851617,32,Librairie 4
5,45.5186788,-73.5731266,6,Mairie 5
6,45.5255956,-73.588545,33,Poste 6
7,45.5307801,-73.5919439,17,École 7
8,45.5291774,-73.5978288,33,Pharmacie 8
9,45.5262542,-73.5900145,26,Café de la Gare 9
10,45.5168845,-73.5706237,34,Pharmacie 10
11,45.5259686,-73.5777808,20,École 11
12,45.5242366,-73.5792942,33,Mairie 12
13,45.5313053,-73.5914701,23,Librairie 13
14,45.524633,-73.580156,47,Boulangerie 14
15,45.5178886,-73.5785359,22,Hôtel de Ville 15
16,45.5075841,-73.5753464,39,Poste 16
17,45.5374475,-73.5773115,25,Boulangerie 17
18,45.531276,-73.5927935,14,Mairie 18
19,45.5329125,-73.5789039,47,Café de la Gare 19
20,45.5325892,-73.5820589,26,Librairie 20
21,45.53856,-73.5692078,40,Librairie 21
22,45.5280578,-73.6038514,36,Garage 22
23,45.5228843,-73.580564,24,Librairie 23
24,45.512945,-73.5704466,19,École 24
25,45.5159586,-73.5743236,46,Hôtel de Ville 25
26,45.5270109,-73.6088336,10,École 26
27,45.5327331,-73.5674139,47,École 27
28,45.5192918,-73.595064,7,Boulangerie 28
29,45.5279502,-73.5639353,13,Hôtel de Ville 29
30,45.5364433,-73.5679317,48,Pharmacie 30
31,45.5180147,-73.5816922,50,Mairie 31
32,45.5395124,-73.581749,48,Librairie 32
33,45.5135518,-73.5689701,16,Supermarché 33
34,45.537972,-73.5784446,18,Boulangerie 34
35,45.5399084,-73.5814149,16,Poste 35
36,45.5249546,-73.6043749,26,Supermarché 36
37,45.5139366,-73.5688009,31,Boulangerie 37
38,45.5310652,-73.5890779,35,Boulangerie 38
39,45.524606,-73.5789528,39,Pharmacie 39
40,45.5248826,-73.5861914,17,Librairie 40
41,45.5189267,-73.5874425,17,Librairie 41
42,45.5195344,-73.5911279,36,Mairie 42
43,45.5380727,-73.5696654,24,École 43
44,45.5335652,-73.5782902,36,Hôtel de Ville 44
45,45.5220048,-73.5655658,6,Pharmacie 45
46,45.5256787,-73.5672731,28,Garage 46
47,45.5168752,-73.5735405,8,Supermarché 47
48,45.5390888,-73.5597061,14,Librairie 48
49,45.5319615,-73.5798076,38,Librairie 49
50,45.5264494,-73.6095705,10,Supermarché 50
